Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
J4,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical,80.924259,-37.865171,-90,bottom
C1,4.7µF,C_1206_3216Metric,131,-56.756684,180,top
C2,100nF,C_0603_1608Metric,128.45,-54.45,180,top
C3,1.8nF,C_0603_1608Metric,135,-45,90,top
C4,8.2pF,C_0603_1608Metric,132,-45,90,top
C5,47µF,C_1206_3216Metric,121.025,-52.207955,0,top
C6,47µF,C_1206_3216Metric,121.017313,-54.5,0,top
C7,47µF,C_1206_3216Metric,113.5,-47.5,-90,top
C8,10µF,C_0603_1608Metric,127.91014,-64.506121,-90,top
C9,1µF,C_0603_1608Metric,81.357922,-46.25171,180,top
C10,100nF,C_0603_1608Metric,81.427917,-53.713329,0,top
C11,10µF,C_0603_1608Metric,81.4052,-52.127404,0,top
C12,10µF,C_0603_1608Metric,86.060128,-71.210543,90,top
C13,0.1µF,C_0603_1608Metric,87.560128,-71.210543,90,top
C14,2.2µF,C_0603_1608Metric,86,-59.008098,90,top
C15,2.2µF,C_0603_1608Metric,87.510488,-58.994265,-90,top
C16,10µF,C_0603_1608Metric,82.5,-59,-90,top
C17,0.1µF,C_0603_1608Metric,91.405751,-67.964653,0,top
C18,10µF,C_0603_1608Metric,91.405751,-66.464653,180,top
C19,0.1µF,C_0603_1608Metric,91.390635,-63.575454,0,top
C20,10µF,C_0603_1608Metric,91.385881,-62.04399,180,top
C21,0.1µF,C_0603_1608Metric,90.517556,-59,90,top
C22,10µF,C_0603_1608Metric,89.017556,-59,-90,top
C23,2.2nF,C_0603_1608Metric,84.554844,-71.232516,-90,top
C24,2.2nF,C_0603_1608Metric,80.033381,-71.232516,90,top
C25,100nF,C_0603_1608Metric,94.306578,-55.961048,-90,top
C26,100nF,C_0603_1608Metric,99.037719,-55.961048,-90,top
C27,100nF,C_0603_1608Metric,103.768859,-55.961048,-90,top
C28,100nF,C_0603_1608Metric,108.5,-55.961048,-90,top
C29,100nF,C_0603_1608Metric,92.47052,-71.493787,0,top
C30,100nF,C_0603_1608Metric,92.47052,-72.98,180,top
